Item Name,Item Code
DECOR 4 WAY SWT (BL),120-18150-000
1 GANG DECOR PLATE (WHITE),120-10600-000
1 GANG DECOR PLATE (BLACK),120-10400-000
1 GANG DECOR PLATE GRAY,120-10500-000
2 GANG DECOR PLATE (WHITE),120-11900-000
2 GANG DECOR PLATE BLACK,120-11750-000
2 GANG DECOR PLATE GRAY,120-27600-000
3 GANG DECOR PLATE (WHITE),120-12650-000
3 GANG DECOR PLATE BLACK,120-12750-000
3 GANG DECOR PLATE GRAY,120-27650-000
4 GANG DECOR PLATE (WHITE),120-14050-000
4 GANG DECOR PLATE BLACK,120-14100-000
4 GANG DECOR PLATE GRAY,120-14200-000
DEAD FACE GFI,120-11500-000
USB REC White,120-24950-000
USB REC Black,120-25000-000
USB REC Brown,--
USB REC Gray,--
OCCUPANCY SWITCH,120-20800-000
DOOR SWITCH,120-18700-000
NIGHT LIGHT RECEPTACLE,120-20850-000
DRYER RECPT FLUSH,120-20000-000
RANGE RECEPT SURFACE,120-14850-000
DRYER RECPT COOPER,120-16600-000
RANGE RECEPT COOPER,120-16500-000
DRYER RECEPT QO,120-23400-000
RANGE RECEPT QO,120-23450-000
DRYER PLATE P&S,120-11950-000
DRYER PLATE COOPER,120-16850-000
DRYER PLATE QO,120-24050-000
LEVITON CAR CHARGER PLATE,120-30600-000
FLUSH MNT RANGE,120-20100-000
LEVITON CAR CHARGER,120-30400-000
DIMMER TOGGLE,120-15950-000
DIMMER DECOR,120-19250-000
Z WAVE SWITCH-TOGGLE,120-13850-000
Z WAVE SWITCH-DÉCOR,120-29950-000
STEP LIGHTS,120-15350-000
CABLE PLATEP&S,120-20950-000
CABLE PLATECooper,120-21050-000
CABLE PLATE W/CONN,120-20050-000
PHONE FLUSH (W),120-21050-000
1 GANG BLANK W,120-22400-000
1 GANG BLANK EATON,120-16900-000
1 GANG BLANK BK,PENDING
1 GANG BLANK BR,--
1 GANG BLANK GR,--
1 GANG BLANK QO,120-23600-000
2 GANG BLANK W,120-11700-000
2 GANG BLANK EATON,120-17000-000
2 GANG BLANK BK,--
2 GANG BLANK BR,--
2 GANG BLANK GR,--
2 GANG BLANK QO,--
3 GANG BLANK W,120-12700-000
3 GANG BLANK EATON,--
3 GANG BLANK BK,--
3 GANG BLANK BR,--
3 GANG BLANK GR,--
3 GANG BLANK QO,--
4 GANG BLANK W,120-22950-000
4 GANG BLANK EATON,--
4 GANG BLANK BK,--
4 GANG BLANK BR,--
4 GANG BLANK GR,--
4 GANG BLANK QO,--
1 GANG SWTPLT W,120-11350-000
1 GANG SWTPLT EATON,120-16950-000
1 GANG SWTPLT BK,120-11200-000
1 GANG SWTPLT BR,120-11400-000
